UF,CÓDIGO DO MUNICÍPIO,MUNICÍPIO,CNES,NOME FANTASIA,TIPO NOVO DO ESTABELECIMENTO,TIPO DO ESTABELECIMENTO,SUBTIPO DO ESTABELECIMENTO,GESTÃO,CONVÊNIO SUS,CATEGORIA NATUREZA JURÍDICA,SERVIÇO,SERVIÇO CLASSIFICAÇÃO,SERVIÇO - AMBULATORIAL SUS,SERVIÇO - AMBULATORIAL NÃO SUS,SERVIÇO - HOSPITALAR SUS,SERVIÇO - HOSPITALAR NÃO SUS,NO_LOGRADOURO,NU_ENDERECO,NO_COMPLEMENTO,NO_BAIRRO,CO_CEP,NU_TELEFONE,NU_LATITUDE,NU_LONGITUDE,NO_EMAIL,NO_URL
SP,355450,TIETE,2080087,SANTA CASA DE MISERICORDIA DE TIETE,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,RUA TENENTE GELAS,1035,PREDIO,CENTRO,18530071,1532859444,-23.1065512,-47.7134504,provedoria@santacasatiete.com.br,
SP,355030,SAO PAULO,2786680,HOSP MUN FERNANDO MAURO PIRES DA ROCHA,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,ESTRADA DE ITAPECERICA,1661,VILA MARACANA,CAMPO LIMPO,5835005,(11)33947460,-23.532900,-46.759682,hmclsame@gmail.com,
MT,510625,NOVA XAVANTINA,4236351,SAE CTA NOVA XAVANTINA,013 POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE,39 UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,AV EXPEDICAO RONCADOR XINGU,260,,XAVANTINA VELHA,78690000,,-14.674624971780613,-52.353458404541016,,
MG,314330,MONTES CLAROS,7366108,HOSPITAL DAS CLINICAS DOUTOR MARIO RIBEIRO DA SILVEIRA,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,PLINIO RIBEIRO,539,,JARDIM BRASIL,39401222,38 32188150,-16.696376,-43.864089,adriana.paculdino@hcmarioribeiro.com.br,
MA,211120,SAO JOSE DE RIBAMAR,2458659,CENTRO DE SAUDE DA VILA KIOLA,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA PRINCESA FLORENCE,140,,VILA KIOLA I,65119619,,-2.555066343199509,-44.180940075958986,,
AM,130260,MANAUS,6627595,INSTITUTO DA MULHER DONA LINDU,007 CENTRO DE ASSISTENCIA OBSTETRICA E NEONATAL NORMAL,07 HOSPITAL ESPECIALIZADO,005 MATERNIDADE,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,RUA MARIO YPIRANGA,1581,,ADRIANOPOPLIS,69070000,(92)36431800,-3.1010818281728887,-60.01453399658203,faturamento@complexohospitalarsul.org.br,
PE,260600,GARANHUNS,2702983,HOSPITAL REGIONAL DOM MOURA,006 HOSPITAL,05 HOSPITAL GERAL,N/A,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,AV SIMOA GOMES,200,,HELIOPOLIS,55296250,(81)37626100,-8.881928722850613,-36.48364841938019,,
MA,211120,SAO JOSE DE RIBAMAR,2458691,UNIDADE BASICA DE SAUDE DO BOM JARDIM,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA SAO BERNARDO,S/N,,BOM JARDIM,65110000,(98)2241474,-2.6158967627433176,-44.125213623046875,,
RJ,330455,RIO DE JANEIRO,2270714,SMS HOSPITAL MATERNIDADE FERNANDO MAGALHAES AP 10,013 POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE,07 HOSPITAL ESPECIALIZADO,005 MATERNIDADE,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,006 ATENCAO A INTERRUPCAO DE GRAVIDEZ NOS CASOS PREVISTOS EM LEI,Sim,Não,Sim,Não,GENERAL JOSE CRISTINO,87,,SAO CRISTOVAO,20921400,21 - 38781498,-22.895220,-43.226450,hmatfernandomagalhaes@gmail.com,
RO,110015,OURO PRETO DO OESTE,2496879,HOSPITAL MUNICIPAL DRA LAURA MARIA BRAGA,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,RAIMUNDO TEIXEIRA,236,,UNIAO,76920000,694613739,-10.727170713387347,-62.25938486467103,,
CE,230440,FORTALEZA,2481286,MATERNIDADE ESCOLA ASSIS CHATEAUBRIAND,006 HOSPITAL,07 HOSPITAL ESPECIALIZADO,005 MATERNIDADE,MUNICIPAL,SIM,PRIVADO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,CORONEL NUNES DE MELO,S/N,,RODOLFO TEOFILO,60430270,85 33668500,-3.748159,-38.552392,,
AM,130420,TEFE,2016176,CENTRO DE SAUDE IRMA ADONAI,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA QUINTINO BOCAIUVA,467,,CENTRO,69550049,,-3.3462387,-64.7076729,,
ES,320150,COLATINA,2448521,HOSPITAL SAO JOSE,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,006 ATENCAO A INTERRUPCAO DE GRAVIDEZ NOS CASOS PREVISTOS EM LEI,Sim,Não,Sim,Não,CRISTO REI,514,,CENTRO,29701400,,-19.541330984042737,-40.63010147458803,,
MG,310560,BARBACENA,2138875,SANTA CASA MISERICORDIA BARBACENA,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Sim,Sim,Sim,ANTONIO ARMOND,97,,SAO SEBASTIAO,36202296,32 33392443,-21.21403505948971,-43.77408564090729,CONTABILIDADE@SANTACASABARBACENA.COM.BR,
MA,211120,SAO JOSE DE RIBAMAR,2458667,CENTRO DE SAUDE DR HONORIO FERREIRA GOMES,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA ARTHUR AZEVEDO,86,,CENTRO,65110079,(98) 2242424,-2.5629463172455726,-44.055865962467195,sms.sjribamar@ig.com.br,
BA,292740,SALVADOR,3956369,MATERNIDADE PROFESSOR JOSE MARIA DE MAGALHAES NETO,007 CENTRO DE ASSISTENCIA OBSTETRICA E NEONATAL NORMAL,07 HOSPITAL ESPECIALIZADO,005 MATERNIDADE,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,MARQUES DE MARICA,S/N,SEM NUMERO,PAU MIUDO,40310740,7132568600,-12971,-38511,,
MG,313510,JANAUBA,2205939,FUNDAJAN,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,AVENIDA SANTA MONICA,349,,SAO GONCALO,39445084,(38)38211011,-15.8105782,-43.3018921,fundajan@nortecnet.com.br,
PA,150360,ITAITUBA,2331055,UNIDADE DE SAUDE DA FAMILIA BOM REMEDIO,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,AV RICARDO JOSE FERREIRA,S/N,,BOM REMEDIO,68180440,,-4.254905932105335,-55.988178849220276,,
RJ,330455,RIO DE JANEIRO,2269945,SMS HOSPITAL MATERNIDADE ALEXANDER FLEMING AP 33,007 CENTRO DE ASSISTENCIA OBSTETRICA E NEONATAL NORMAL,07 HOSPITAL ESPECIALIZADO,005 MATERNIDADE,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,006 ATENCAO A INTERRUPCAO DE GRAVIDEZ NOS CASOS PREVISTOS EM LEI,Sim,Não,Sim,Não,RUA JORGE SCHMIDT,331,,MARECHAL HERMES,21610645,24583343,-22.86462,-43.37001,direcaohmaf2021@gmail.com,
PB,250750,JOAO PESSOA,2399318,HOSPITAL INFANTIL ARLINDA MARQUES,006 HOSPITAL,07 HOSPITAL ESPECIALIZADO,001 PEDIATRIA,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,ALBERTO DE BRITO,S/N,,JAGUARIBE,58015320,,-7.129299,-34.875251,,
MG,313940,MANHUACU,2173166,HOSPITAL CESAR LEITE,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,006 ATENCAO A INTERRUPCAO DE GRAVIDEZ NOS CASOS PREVISTOS EM LEI,Sim,Não,Sim,Não,PRACA DR CESAR LEITE,383,TERREO,CENTRO,36900073,33 3339 6900,-20.255145943285093,-42.03063393032484,,
RO,110018,PIMENTA BUENO,2496534,HOSPITAL E MATERNIDADE MUNICIPAL ANA NETA PIMENTA BUENO,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,JK,S/N,,SERINGAL,76970000,981567140,-11.663857711534263,-61.21532678604126,,
DF,530010,BRASILIA,3742822,UBS 02 AGUAS CLARAS,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,QS 08 CONJUNTO 410 A LOTE 15,S/N,,AREAL,72155000,,-15.859492,-48.002295,gsap9.tag@gmail.com,
AP,160050,OIAPOQUE,2021463,SES AP HOSPITAL ESTADUAL DE OIAPOQUE,006 HOSPITAL,05 HOSPITAL GERAL,N/A,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA PRESIDENTE KENNEDY,700,HOSPITAL,CENTRO,68980000,(96)3521-1280,3.8483878020221523,-51.83631509542465,heo@saude.ap.gov.br,
PA,150140,BELEM,5274990,HOSPITAL PUBLICO DA MULHER SENHORA DE NAZARE,006 HOSPITAL,05 HOSPITAL GERAL,N/A,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,AVENIDA GENTIL BITENCOURT,2175,,SAO BRAS,66073220,,-1.459845,-48.487825,,
AM,130100,CARAUARI,2017563,UBS ADELIA COSTA DOS SANTOS,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA SAMUEL AMARAL,S/N,,SAMUEL AMARAL,69500000,(97) 3491-2232,-4.8773338,-66.891894,,
DF,530010,BRASILIA,658286,CEPAV SEMPRE VIVA,016 AMBULATORIO,36 CLINICA/CENTRO DE ESPECIALIDADE,009 OUTROS,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,QUADRA CENTRAL AREA ESPECIAL B LOTE 2,2,,SOBRADINHO,73010600,61 992532414,-15.650210322981698,-47.793933074309095,cepav.sempreviva@saude.df.gov.br,
RS,431225,MINAS DO LEAO,2226693,CENTRO MUNICIPAL DE SAUDE MINAS DO LEAO,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,R RICARDO SOUZA PORTO,301,,CENTRO,96755000,(51)36941193,-30.128066104248173,-52.04671561717987,saude@minasdoleao.rs.gov.br,
DF,530010,BRASILIA,10510,HOSPITAL UNIVERSITARIO DE BRASILIA,006 HOSPITAL,05 HOSPITAL GERAL,N/A,ESTADUAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,SGAN QUADRA 605,S/N,UNIDADE 3 HUB,ASA NORTE,70310500,,-15.771480871463751,-47.873783111572266,,http://www.ebserh.gov.br/web/hub-unb
CE,230230,BELA CRUZ,2563487,HOSPITAL MUNICIPAL DE BELA CRUZ,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA CAPITAO MIGUEL LOPES,838,,BRASILIA,62570000,36631157,-3.05403,-40.17245,,
MG,315700,SALINAS,2204649,HOSPITAL MUNICIPAL DR OSWALDO PREDILIANO SANTANA,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Sim,Não,AVENIDA ANTONIO CARLOS,1009,,SAO GERALDO,39560000,(38)38411014,-16.1592968,-42.2916799,hospitalmunicipal@salinas.mg.gov.br,
RJ,330455,RIO DE JANEIRO,2270269,SMS HOSPITAL MUNICIPAL MIGUEL COUTO AP 21,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,006 ATENCAO A INTERRUPCAO DE GRAVIDEZ NOS CASOS PREVISTOS EM LEI,Sim,Não,Sim,Não,MARIO RIBEIRO,117,,GAVEA,22430160,21 3111-3711,-22.90378,-43.20888,hmmcdrh@gmail.com,
PI,220800,PICOS,5073340,CENTRO DE ATENCAO PSICOSSOCIAL CAPS AD,019 UNIDADE DE TERAPIAS ESPECIAIS,70 CENTRO DE ATENCAO PSICOSSOCIAL,001 CAPS I,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA DOM SEVERINO,S/N,,JUNCO,64601530,34229867,-7.074616243416705,-41.48108661174774,,
RN,240710,MACAIBA,6742017,UNIDADE DE PRONTO ATENDIMENTO MACAIBA UPA,008 PRONTO ATENDIMENTO,73 PRONTO ATENDIMENTO,003 UPA,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,AVENIDA JUNDIAI RN 160,1050,,CAMPINAS,59285668,(84)3271-4204,-5.8843966,-35.3656225,,
PR,412550,SAO JOSE DOS PINHAIS,18902,CAM CENTRO DE ATENDIMENTO MULTIPROFISSIONAL,016 AMBULATORIO,04 POLICLINICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,RUA BRIGADEIRO ARTHUR CARLOS PERALTA,137,,BOM JESUS,83025200,(41) 3381 - 5831,-25.5514488,-49.2084182,,
MG,313240,ITAJUBA,2208857,AISI HOSPITAL DE CLINICAS DE ITAJUBA,006 HOSPITAL,05 HOSPITAL GERAL,N/A,MUNICIPAL,SIM,SEM FINS LUCRATIVOS,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,MIGUEL VIANA,420,,MORRO CHIC,37500080,35 36297600,-22.419101958713934,-45.46058893203735,secretaria.executiva@hcitajuba.org.br,
SP,354780,SANTO ANDRE,6020917,HOSPITAL DA MULHER MARIA JOSE DOS SANTOS STEIN,006 HOSPITAL,07 HOSPITAL ESPECIALIZADO,005 MATERNIDADE,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,006 ATENCAO A INTERRUPCAO DE GRAVIDEZ NOS CASOS PREVISTOS EM LEI,Sim,Não,Sim,Não,RUA AMERICA DO SUL,285,,PQ NOVO ORATORIO,9270410,11 44785000,-23.6351,-46.4995,aafrodrigues@santoandre.sp.gov.br,
PA,150360,ITAITUBA,2331128,UNIDADE DE SAUDE DA FAMILIA DA FLORESTA,001 UNIDADE BASICA DE SAUDE,02 CENTRO DE SAUDE/UNIDADE BASICA,N/A,MUNICIPAL,SIM,PÚBLICO,165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL,Sim,Não,Não,Não,DECIMA RUA,S/N,,FLORESTA,68181000,,-4.309438149956719,-55.964698791503906,,
